District,Taluka,Village,Rank,Year
Satara,Koregaon,Velu,1,2016
Beed,Ambejogai,Khaparton,2,2016
Satara,Koregaon,Jaigaon,2,2016
Beed,Ambejogai,Raditanda,3,2016
Amravati,Warud,Wathoda,3,2016
Wardha,Arvi,Kakaddara,1,2017
Satara,Khatav,Bhosare,2,2017
Beed,Dharur,Jaybhaychi,2,2017
Beed,Kaij,Palaskheda,3,2017
Satara,Maan,Bidal,3,2017
Satara,Maan,Takewadi (Andhali),1,2018
Satara,Maan,Bhandavli,2,2018
Buldhana,Motala,Sindkhed,2,2018
Beed,Ashti,Anandwadi,3,2018
Nagpur,Narkhed,Umtha,3,2018
Solapur,Barshi,Surdi,1,2019
Satara,Maan,Shindi Khurd,2,2019
Ahmadnagar,Parner,Pimpri Jalsen,2,2019
Washim,Mangrulpir,Borvha Budruk,3,2019
Beed,Beed,Devryachiwadi,3,2019
Jalgaon,Amalner,Anore,3,2019